passenger_id,full_name,age,gender,country,loyalty_tier,total_miles_flown,lifetime_spend,avg_ticket_price,preferred_route,last_booking_date,cancellation_rate,upgrade_history_count,ancillary_spend_avg,churn_risk_score
PX1000,Lajita Pathak,25,F,India,Silver,243271,887364.2002662789,8175.24671946828,MAA-GOI,2025-10-02,0.11993378259139521,4,1578.1140019083887,0.4381123500079289
PX1001,Qadim Peri,23,M,India,Blue,427,181911.66345414473,8326.990907649964,MAA-HYD,2025-04-06,0.07934514284194252,7,739.150548495601,0.42020541026762503
PX1002,Rehaan Mandal,40,F,India,Blue,4707,1037084.8734251512,9384.688220953776,PNQ-AMD,2025-11-04,0.015360931833192497,6,1224.2658138763172,0.41262595140745584
PX1003,Pallavi Luthra,44,M,India,Platinum,418137,1458006.9869355478,4176.429523299417,BLR-GOI,2025-12-08,0.06581043042190733,7,1279.2120816864738,0.3182713108193014
PX1004,William Ben,41,M,India,Blue,4258,1768360.1528008801,8987.794500842414,GOI-PNQ,2025-11-05,0.10828330765886056,5,822.9288864341901,0.7209907280182121
PX1005,Arunima Chhabra,60,F,India,Blue,4964,1068411.608929195,14224.798270353956,AMD-GOI,2025-03-15,0.11308368601876193,7,407.621215033562,0.5458117751043485
PX1006,Anmol Konda,63,M,India,Blue,2945,1756219.925737072,12893.69469213682,MAA-MAA,2025-07-04,0.11862396932462597,4,393.37138330266924,0.6218459010551677
PX1007,Zarna Muni,72,M,India,Blue,486,397933.2717052647,9060.987558081477,DEL-DEL,2026-01-09,0.007668926499024509,7,1936.708318144409,0.3468986844286299
PX1008,Christopher Solanki,35,M,India,Blue,1821,363726.68665174086,13694.67061641972,AMD-PNQ,2025-04-10,0.12536349638471936,0,434.6386694082702,0.12452637809676848
PX1009,Faraj Jayaraman,26,M,India,Blue,468,427321.66788190266,14070.599798996545,BLR-PNQ,2025-10-24,0.06425923683308601,1,1202.9694364497436,0.8727520570977033
PX1010,Lekha Madan,73,F,India,Gold,179354,1046629.5695610855,4532.206538347981,HYD-GOI,2025-12-01,0.060864222606357515,3,263.12877901708475,0.7236146352814327
PX1011,Rajata Sunder,46,F,India,Blue,467,23733.59346349479,5984.090943712659,HYD-BLR,2025-10-22,0.05279556089973898,8,1422.0992282633222,0.19020656021999105
PX1012,Eshana Sarma,42,M,India,Blue,2949,1688669.9385206266,7421.119557699972,BLR-DEL,2025-08-24,0.024382864394924295,7,1041.0837764154758,0.4341803719875187
PX1013,Bhavini Venkataraman,42,M,India,Blue,2234,1379954.046676743,13734.465479832737,CCU-BLR,2025-09-14,0.027014805028816057,5,1375.1119480516238,0.5494863523767196
PX1014,Ria Lalla,44,F,India,Platinum,152294,1365613.436835002,12506.105789824407,BLR-BOM,2025-12-31,0.04063517114094247,4,1781.5367627704427,0.8227012139963428
PX1015,Urmi Goel,70,F,India,Blue,543,1979810.6355191434,8883.517919673955,GOI-DEL,2025-05-07,0.14283401929639927,1,1718.8367821633183,0.9223131874225089
PX1016,Zaid Sabharwal,64,F,India,Blue,956,1049890.4448896032,6934.210497215271,GOI-GOI,2025-04-29,0.1135717601933092,5,656.982880005362,0.6755088565201345
PX1017,Dakshesh Pingle,34,M,India,Blue,2789,1583026.7272755506,8313.029251278916,GOI-AMD,2025-03-10,0.1461774998368639,7,1601.2684749909172,0.036430872092443556
PX1018,Odika Ahluwalia,43,F,India,Silver,105011,260702.47519347267,6920.122963527187,MAA-CCU,2025-10-23,0.03981955506172502,2,1222.9657431860057,0.3849252156466212
PX1019,Nilima Pandit,40,M,India,Blue,1418,1332899.4404345294,11320.296444701915,DEL-CCU,2025-07-18,0.08841106125859045,0,688.1355366281543,0.18176180442638334
PX1020,Yauvani Hari,40,M,India,Platinum,329693,1542162.4801595444,13550.811117986517,BOM-CCU,2025-02-12,0.09132214992828301,7,1253.680062777033,0.19699712304408767
PX1021,Bachittar Magar,37,M,India,Blue,1215,822817.1814505026,14463.598831374757,AMD-AMD,2025-11-11,0.004333799407155747,3,485.38127035317535,0.4380454359752731
PX1022,Urvi Ratti,31,M,India,Silver,399855,199070.92831813858,12321.343985048692,BLR-PNQ,2025-11-21,0.13856072072124756,3,240.94959142423627,0.12245986250051366
PX1023,Ati Rattan,23,F,India,Blue,3176,1577343.7561240296,11180.526071266322,CCU-BLR,2025-11-15,0.06592576912263642,2,1816.4670411990726,0.27576325829924186
PX1024,Nitara Luthra,30,F,India,Blue,2787,74147.74940226464,10103.43920124155,AMD-CCU,2026-01-15,0.1148612654309745,1,215.8832429650854,0.4200905771991468
PX1025,Hemal Gokhale,19,F,India,Blue,1957,925196.9940834953,5260.025196255243,MAA-HYD,2025-03-18,0.041638234782241296,7,936.5787831045617,0.7399699132975368
PX1026,Balveer Choudhury,50,F,India,Blue,655,988097.6685803656,12298.628049554456,MAA-GOI,2025-09-04,0.06944851312769443,8,1648.3568345118076,0.805476165430495
PX1027,Udarsh Vyas,39,M,India,Blue,4393,895191.4907829764,9930.5780396763,BLR-BLR,2026-01-04,0.043142257402566636,6,1386.1810431871863,0.1658927495437782
PX1028,Triya Patel,47,M,India,Blue,2641,1966044.5911301228,13512.184571969849,DEL-BOM,2025-06-19,0.09085963858238306,6,463.2403549356746,0.5301676217488291
PX1029,Amaira Varma,22,M,India,Platinum,344009,1750478.5842920742,11854.754863204551,PNQ-CCU,2025-08-18,0.13446186371160532,4,1072.53087179763,0.5503092344597482
PX1030,Yug Dugar,56,M,India,Blue,4693,8723.657787159442,9431.837405781283,HYD-BOM,2025-07-25,0.12343354113741116,3,1803.3184285625296,0.14236921792069845
PX1031,Logan Jaggi,33,F,India,Platinum,371538,1093057.6241449334,7602.115460162433,HYD-PNQ,2025-06-04,0.04083681332425615,6,647.8920348785838,0.9128427649138684
